ZIP census tabulation area,ZIP Code name,Total population (2020 Census)
11435,"Jamaica, NY",58980
11436,"Jamaica, NY",20620
11439,"Jamaica, NY",2376
11451,"Jamaica, NY",1
11501,"Mineola, NY",21189
11507,"Albertson, NY",7449
11509,"Atlantic Beach, NY",2433
11510,"Baldwin, NY",34617
11514,"Carle Place, NY",4635
11516,"Cedarhurst, NY",8394
11518,"East Rockaway, NY",10869
11520,"Freeport, NY",45121
11530,"Garden City, NY",28851
11542,"Glen Cove, NY",29171
11545,"Glen Head, NY",12008
11547,"Glenwood Landing, NY (PO boxes)",995
11548,"Greenvale, NY",2313
11549,"Hempstead, NY",2337
11550,"Hempstead, NY",61901
11552,"West Hempstead, NY",24903
11553,"Uniondale, NY",26929
11554,"East Meadow, NY",37796
11556,"Uniondale, NY",18
11557,"Hewlett, NY",8659
11558,"Island Park, NY",8954
11559,"Lawrence, NY",8709
11560,"Locust Valley, NY",6860
11561,"Long Beach, NY",39132
11563,"Lynbrook, NY",23349
11565,"Malverne, NY",8845
11566,"Merrick, NY",35147
11568,"Old Westbury, NY",4168
11569,"Point Lookout, NY (PO boxes)",1527
11570,"Rockville Centre, NY",29023
11572,"Oceanside, NY",31157
11575,"Roosevelt, NY",18048
11576,"Roslyn, NY",12962
11577,"Roslyn Heights, NY",12695
11579,"Sea Cliff, NY",5039
11580,"Valley Stream, NY",43026
11581,"Valley Stream, NY",23183
11590,"Westbury, NY",47838
11596,"Williston Park, NY",10849
11598,"Woodmere, NY",14515
11691,"Far Rockaway, NY",64673
11692,"Arverne, NY",22776
11693,"Far Rockaway, NY",12467
11694,"Rockaway Park, NY",19780
11697,"Breezy Point, NY",4468
11701,"Amityville, NY",27831
11702,"Babylon, NY",14580
11703,"North Babylon, NY",16635
11704,"West Babylon, NY",40367
11705,"Bayport, NY",7951
11706,"Bay Shore, NY",66263
11709,"Bayville, NY",6748
11710,"Bellmore, NY",35155
11713,"Bellport, NY",10970
11714,"Bethpage, NY",22989
11715,"Blue Point, NY",4423
11716,"Bohemia, NY",10315
11717,"Brentwood, NY",62193
11718,"Brightwaters, NY",3181
11719,"Brookhaven, NY",3447
11720,"Centereach, NY",28623
11721,"Centerport, NY",6318
11722,"Central Islip, NY",37491
11724,"Cold Spring Harbor, NY",3268
11725,"Commack, NY",28838
11726,"Copiague, NY",20763
11727,"Coram, NY",29716
11729,"Deer Park, NY",28569
11730,"East Islip, NY",14523
11731,"East Northport, NY",30353
11732,"East Norwich, NY",3638
11733,"East Setauket, NY",17967
11735,"Farmingdale, NY",32989
11738,"Farmingville, NY",16732
11739,"Great River, NY (PO boxes)",1385
11740,"Greenlawn, NY",9593
11741,"Holbrook, NY",27046
11742,"Holtsville, NY",12699
11743,"Huntington, NY",41522
11746,"Huntington Station, NY",69040
11747,"Melville, NY",20133
11749,"Islandia, NY",3567
11751,"Islip, NY",14790
11752,"Islip Terrace, NY",9758
11753,"Jericho, NY",13084
11754,"Kings Park, NY",18472
11755,"Lake Grove, NY",12118
11756,"Levittown, NY",42501
11757,"Lindenhurst, NY",45157
11758,"Massapequa, NY",54226
11762,"Massapequa Park, NY",22439
11763,"Medford, NY",29055
11764,"Miller Place, NY",12566
11765,"Mill Neck, NY",701
11766,"Mount Sinai, NY",11888
11767,"Nesconset, NY",14379
11768,"Northport, NY",21433
11769,"Oakdale, NY",9250
11770,"Ocean Beach, NY (PO boxes)",331
11771,"Oyster Bay, NY",10322
11772,"Patchogue, NY",44459
11776,"Port Jefferson Station, NY",24205
11777,"Port Jefferson, NY",9346
11778,"Rocky Point, NY",12449
11779,"Ronkonkoma, NY",38250
11780,"Saint James, NY",15508
11782,"Sayville, NY",15682
11783,"Seaford, NY",21299
11784,"Selden, NY",24794
11786,"Shoreham, NY",6287
11787,"Smithtown, NY",35361
11788,"Hauppauge, NY",16273
11789,"Sound Beach, NY",7640
11790,"Stony Brook, NY",21519
11791,"Syosset, NY",25879
11792,"Wading River, NY",8528
11793,"Wantagh, NY",32121
11794,"Stony Brook, NY",1779
11795,"West Islip, NY",25344
11796,"West Sayville, NY",3676
11797,"Woodbury, NY",9452
11798,"Wyandanch, NY",17215
11801,"Hicksville, NY",41779
11803,"Plainview, NY",30049
11804,"Old Bethpage, NY",4972
11901,"Riverhead, NY",30936
11930,"Amagansett, NY (PO boxes)",2062
11931,"Aquebogue, NY (PO boxes)",40
11932,"Bridgehampton, NY (PO boxes)",2129
11933,"Calverton, NY",6899
11934,"Center Moriches, NY",8364
11935,"Cutchogue, NY",3432
11937,"East Hampton, NY",19968
11939,"East Marion, NY",1048
11940,"East Moriches, NY",5396
11941,"Eastport, NY",2605
11942,"East Quogue, NY",5571
11944,"Greenport, NY",4801
11946,"Hampton Bays, NY",15535
11947,"Jamesport, NY (PO boxes)",55
11948,"Laurel, NY",1212
11949,"Manorville, NY",14663
11950,"Mastic, NY",16233
11951,"Mastic Beach, NY",13827
11952,"Mattituck, NY",4701
11953,"Middle Island, NY",13249
11954,"Montauk, NY",4318
11955,"Moriches, NY",3258
11956,"New Suffolk, NY (PO boxes)",405
11957,"Orient, NY",1004
11958,"Peconic, NY",691
11959,"Quogue, NY (PO boxes)",1657
11960,"Remsenburg, NY (PO boxes)",1688
11961,"Ridge, NY",13042
11962,"Sagaponack, NY (PO boxes)",1099
11963,"Sag Harbor, NY",8384
11964,"Shelter Island, NY (PO boxes)",2470
11965,"Shelter Island Heights, NY (PO boxes)",766
11967,"Shirley, NY",26213
11968,"Southampton, NY",14467
11970,"South Jamesport, NY (PO boxes)",454
11971,"Southold, NY",6105
11972,"Speonk, NY (PO boxes)",1013
11973,"Upton, NY (PO boxes)",17
11975,"Wainscott, NY (PO boxes)",656
11976,"Water Mill, NY",2764
11977,"Westhampton, NY",2837
11978,"Westhampton Beach, NY",4087
11980,"Yaphank, NY",4931
12007,"Alcove, NY",260
12008,"Alplaus, NY",475
12009,"Altamont, NY",7874
12010,"Amsterdam, NY",28845
12015,"Athens, NY",3509
12017,"Austerlitz, NY",358
12018,"Averill Park, NY",7626
12019,"Ballston Lake, NY",15826
12020,"Ballston Spa, NY",34667
12022,"Berlin, NY",896
12023,"Berne, NY",2036
12024,"Brainard, NY",172
12025,"Broadalbin, NY",5356
12027,"Burnt Hills, NY",3958
12028,"Buskirk, NY",1078
12029,"Canaan, NY",1029
12031,"Carlisle, NY",118
12032,"Caroga Lake, NY",834
12033,"Castleton On Hudson, NY",8076
12035,"Central Bridge, NY",692
12036,"Charlotteville, NY",232
12037,"Chatham, NY",3895
12040,"Cherry Plain, NY (PO boxes)",38
12041,"Clarksville, NY",425
12042,"Climax, NY",403
12043,"Cobleskill, NY",7883
12045,"Coeymans, NY (PO boxes)",662
12046,"Coeymans Hollow, NY",646
12047,"Cohoes, NY",23347
12051,"Coxsackie, NY",5771
12052,"Cropseyville, NY",1535
12053,"Delanson, NY",4142
12054,"Delmar, NY",17282
12056,"Duanesburg, NY",2192
12057,"Eagle Bridge, NY",1842
12058,"Earlton, NY",1523
12059,"East Berne, NY",1482
12060,"East Chatham, NY",1411
12061,"East Greenbush, NY",9404
12062,"East Nassau, NY",1878
12063,"East Schodack, NY",443
12064,"East Worcester, NY",427
12065,"Clifton Park, NY",43893
12066,"Esperance, NY",2007
12067,"Feura Bush, NY",1513
12068,"Fonda, NY",2899
12069,"Fort Hunter, NY (PO boxes)",225
12070,"Fort Johnson, NY",1475
12071,"Fultonham, NY",277
12072,"Fultonville, NY",3016
12074,"Galway, NY",2901
12075,"Ghent, NY",3135
12076,"Gilboa, NY",1247
12077,"Glenmont, NY",6739
12078,"Gloversville, NY",23009
12082,"Grafton, NY (PO boxes)",28
12083,"Greenville, NY",3592
12084,"Guilderland, NY",4658
12085,"Guilderland Center, NY",554
12086,"Hagaman, NY",1698
12087,"Hannacroix, NY",1131
12090,"Hoosick Falls, NY",6223
12092,"Howes Cave, NY",1241
12093,"Jefferson, NY",1576
12094,"Johnsonville, NY",2337
12095,"Johnstown, NY",12242
12106,"Kinderhook, NY",2137
12108,"Lake Pleasant, NY",415
12110,"Latham, NY",19682
12115,"Malden Bridge, NY",190
12116,"Maryland, NY",1713
12117,"Mayfield, NY",2831
12118,"Mechanicville, NY",16618
12120,"Medusa, NY",593
12121,"Melrose, NY",1767
12122,"Middleburgh, NY",3763
12123,"Nassau, NY",5096
12124,"New Baltimore, NY (PO boxes)",443
12125,"New Lebanon, NY",1478
12130,"Niverville, NY",845
12131,"North Blenheim, NY",135
12132,"North Chatham, NY (PO boxes)",130
12134,"Northville, NY",3560
12136,"Old Chatham, NY",927
12137,"Pattersonville, NY",1704
12138,"Petersburg, NY",3012
12139,"Piseco, NY",266
12140,"Poestenkill, NY",1639
12143,"Ravena, NY",4903
12144,"Rensselaer, NY",21277
12147,"Rensselaerville, NY",521
12148,"Rexford, NY",4935
12149,"Richmondville, NY",2294
12150,"Rotterdam Junction, NY",799
12151,"Round Lake, NY",957
12153,"Sand Lake, NY",818
12154,"Schaghticoke, NY",2669
12155,"Schenevus, NY",1753
12156,"Schodack Landing, NY",853
12157,"Schoharie, NY",4109
12158,"Selkirk, NY",6373
12159,"Slingerlands, NY",8524
12160,"Sloansville, NY",938
12161,"South Bethlehem, NY (PO boxes)",75
12164,"Speculator, NY",487
12165,"Spencertown, NY",146
12166,"Sprakers, NY",1500
12167,"Stamford, NY",2342
12168,"Stephentown, NY",1681
12169,"Stephentown, NY",445
12170,"Stillwater, NY",4964
12172,"Stottville, NY (PO boxes)",381
12173,"Stuyvesant, NY",1732
12174,"Stuyvesant Falls, NY (PO boxes)",260
12175,"Summit, NY",725
12176,"Surprise, NY",292
12177,"Tribes Hill, NY (PO boxes)",400
12180,"Troy, NY",55907
12182,"Troy, NY",14657
12183,"Troy, NY",2934
12184,"Valatie, NY",7178
12185,"Valley Falls, NY",2059
12186,"Voorheesville, NY",6485
12187,"Warnerville, NY",571
12188,"Waterford, NY",11035
12189,"Watervliet, NY",18970
12190,"Wells, NY",683
12192,"West Coxsackie, NY",1617
12193,"Westerlo, NY",1934
12194,"West Fulton, NY",176
12195,"West Lebanon, NY (PO boxes)",97
12196,"West Sand Lake, NY",2930
12197,"Worcester, NY",2176
12198,"Wynantskill, NY",7548
12202,"Albany, NY",10257
12203,"Albany, NY",28210
12204,"Albany, NY",7818
12205,"Albany, NY",27168
12206,"Albany, NY",17219
12207,"Albany, NY",2399
12208,"Albany, NY",22118
12209,"Albany, NY",10231
12210,"Albany, NY",10559
12211,"Albany, NY",13532
12222,"Albany, NY",6149
12226,"Albany, NY",20
12302,"Schenectady, NY",27618
12303,"Schenectady, NY",30893
12304,"Schenectady, NY",21513
12305,"Schenectady, NY",6085
12306,"Schenectady, NY",26935
12307,"Schenectady, NY",7567
12308,"Schenectady, NY",15285
12309,"Schenectady, NY",31273
12401,"Kingston, NY",35493
12404,"Accord, NY",3625
12405,"Acra, NY",571
12406,"Arkville, NY",740
12407,"Ashland, NY",95
12409,"Bearsville, NY",994
12410,"Big Indian, NY",416
12411,"Bloomington, NY",419
12412,"Boiceville, NY",627
12413,"Cairo, NY",2914
12414,"Catskill, NY",10163
12416,"Chichester, NY",208
12417,"Connelly, NY (PO boxes)",748
12418,"Cornwallville, NY",558
12419,"Cottekill, NY",660
12420,"Cragsmoor, NY (PO boxes)",175
12421,"Denver, NY",334
12422,"Durham, NY",354
12423,"East Durham, NY",940
12424,"East Jewett, NY",249
12427,"Elka Park, NY",905
12428,"Ellenville, NY",6969
12429,"Esopus, NY (PO boxes)",329
12430,"Fleischmanns, NY",999
12431,"Freehold, NY",1639
12432,"Glasco, NY (PO boxes)",507
12433,"Glenford, NY",403
12434,"Grand Gorge, NY",622
12435,"Greenfield Park, NY",276
12436,"Haines Falls, NY (PO boxes)",451
12438,"Halcottsville, NY (PO boxes)",56
12439,"Hensonville, NY",401
12440,"High Falls, NY",1863
12441,"Highmount, NY (PO boxes)",130
12442,"Hunter, NY",752
12443,"Hurley, NY",3868
12444,"Jewett, NY",430
12446,"Kerhonkson, NY",4930
12448,"Lake Hill, NY",255
12449,"Lake Katrine, NY",3386
12450,"Lanesville, NY",171
12451,"Leeds, NY",1560
12452,"Lexington, NY (PO boxes)",48
12453,"Malden On Hudson, NY (PO boxes)",271
12454,"Maplecrest, NY",233
12455,"Margaretville, NY",1820
12456,"Mount Marion, NY",590
12457,"Mount Tremper, NY",738
12458,"Napanoch, NY",3488
12459,"New Kingston, NY (PO boxes)",172
12460,"Oak Hill, NY",281
12461,"Olivebridge, NY",1661
12463,"Palenville, NY",1405
12464,"Phoenicia, NY",955
12465,"Pine Hill, NY",288
12466,"Port Ewen, NY",2353
12468,"Prattsville, NY",1417
12469,"Preston Hollow, NY",697
12470,"Purling, NY",648
12471,"Rifton, NY (PO boxes)",231
12472,"Rosendale, NY",1519
12473,"Round Top, NY",931
12474,"Roxbury, NY",1128
12475,"Ruby, NY (PO boxes)",373
12477,"Saugerties, NY",18559
12480,"Shandaken, NY",604
12481,"Shokan, NY",1259
12482,"South Cairo, NY",599
12483,"Spring Glen, NY (PO boxes)",191
12484,"Stone Ridge, NY",2809
12485,"Tannersville, NY",939
12486,"Tillson, NY",1457
12487,"Ulster Park, NY",3508
12489,"Wawarsing, NY (PO boxes)",267
12490,"West Camp, NY (PO boxes)",70
12491,"West Hurley, NY",1782
12492,"West Kill, NY",296
12493,"West Park, NY (PO boxes)",426
12494,"West Shokan, NY",712
12495,"Willow, NY",212
12496,"Windham, NY",1508
12498,"Woodstock, NY",4845
12501,"Amenia, NY",2125
12502,"Ancram, NY",1146
12503,"Ancramdale, NY",675
12504,"Annandale On Hudson, NY (PO boxes)",333
12507,"Barrytown, NY",166
12508,"Beacon, NY",19537
12512,"Chelsea, NY (PO boxes)",143
12513,"Claverack, NY",621
12514,"Clinton Corners, NY",2784
12515,"Clintondale, NY",1349
12516,"Copake, NY",1722
12517,"Copake Falls, NY",430
12518,"Cornwall, NY",5622
12520,"Cornwall On Hudson, NY",3287
12521,"Craryville, NY",1636
12522,"Dover Plains, NY",4993
12523,"Elizaville, NY",1819
12524,"Fishkill, NY",15617
12525,"Gardiner, NY",3359
12526,"Germantown, NY",3687
12527,"Glenham, NY (PO boxes)",108
12528,"Highland, NY",14089
12529,"Hillsdale, NY",2755
12530,"Hollowville, NY (PO boxes)",81
12531,"Holmes, NY",3267
12533,"Hopewell Junction, NY",26147
12534,"Hudson, NY",17539
12538,"Hyde Park, NY",14181
12540,"Lagrangeville, NY",7666
12542,"Marlboro, NY",5726
12543,"Maybrook, NY",3170
12544,"Mellenville, NY (PO boxes)",156
12545,"Millbrook, NY",4741
12546,"Millerton, NY",3026
12547,"Milton, NY",2934
12548,"Modena, NY",1334
12549,"Montgomery, NY",10349
12550,"Newburgh, NY",55869
12553,"New Windsor, NY",26728
12561,"New Paltz, NY",18726
12563,"Patterson, NY",7586
12564,"Pawling, NY",7159
12565,"Philmont, NY",1402
12566,"Pine Bush, NY",10923
12567,"Pine Plains, NY",2564
12569,"Pleasant Valley, NY",10177
12570,"Poughquag, NY",6825
12571,"Red Hook, NY",9600
12572,"Rhinebeck, NY",9258
12574,"Rhinecliff, NY (PO boxes)",299
12575,"Rock Tavern, NY",2478
12577,"Salisbury Mills, NY",2280
12578,"Salt Point, NY",2298
12580,"Staatsburg, NY",4204
12581,"Stanfordville, NY",2091
12582,"Stormville, NY",6148
12583,"Tivoli, NY",2212
12585,"Verbank, NY",850
12586,"Walden, NY",13087
12589,"Wallkill, NY",16935
12590,"Wappingers Falls, NY",37051
12592,"Wassaic, NY",1230
12594,"Wingdale, NY",4018
12601,"Poughkeepsie, NY",44264
12603,"Poughkeepsie, NY",41470
12604,"Poughkeepsie, NY",2011
12701,"Monticello, NY",12360
12719,"Barryville, NY",1056
12720,"Bethel, NY",179
12721,"Bloomingburg, NY",7504
12722,"Burlingham, NY (PO boxes)",120
12723,"Callicoon, NY",1687
12724,"Callicoon Center, NY (PO boxes)",215
12725,"Claryville, NY",287
12726,"Cochecton, NY",1168
12729,"Cuddebackville, NY",1708
12732,"Eldred, NY",735
12733,"Fallsburg, NY",1887
12734,"Ferndale, NY",870
12736,"Fremont Center, NY",114
12737,"Glen Spey, NY",1765
12738,"Glen Wild, NY",270
12740,"Grahamsville, NY",1714
12741,"Hankins, NY",251
12742,"Harris, NY",200
12743,"Highland Lake, NY",347
12745,"Hortonville, NY",62
12746,"Huguenot, NY",1010
12747,"Hurleyville, NY",1849
12748,"Jeffersonville, NY",1890
12749,"Kauneonga Lake, NY (PO boxes)",293
12750,"Kenoza Lake, NY",148
12751,"Kiamesha Lake, NY",1151
12752,"Lake Huntington, NY",283
12754,"Liberty, NY",7654
12758,"Livingston Manor, NY",4033
12759,"Loch Sheldrake, NY",1568
12760,"Long Eddy, NY",477
12762,"Mongaup Valley, NY",433
12763,"Mountain Dale, NY",891
12764,"Narrowsburg, NY",1717
12765,"Neversink, NY",789
12766,"North Branch, NY",458
12767,"Obernburg, NY (PO boxes)",61
12768,"Parksville, NY",958
12769,"Phillipsport, NY (PO boxes)",135
12770,"Pond Eddy, NY",176
12771,"Port Jervis, NY",14423
12775,"Rock Hill, NY",2467
12776,"Roscoe, NY",1865
12777,"Forestburgh, NY",710
12778,"Smallwood, NY (PO boxes)",708
12779,"South Fallsburg, NY",2665
12780,"Sparrow Bush, NY",2218
12781,"Summitville, NY (PO boxes)",106
12783,"Swan Lake, NY",1388
12784,"Thompsonville, NY (PO boxes)",34
12785,"Westbrookville, NY (PO boxes)",749
12786,"White Lake, NY",711
12787,"White Sulphur Springs, NY",259
12788,"Woodbourne, NY",3596
12789,"Woodridge, NY",1930
12790,"Wurtsboro, NY",4817
12791,"Youngsville, NY",547
12792,"Yulan, NY",311
12801,"Glens Falls, NY",14850
12803,"South Glens Falls, NY",8990
12804,"Queensbury, NY",27790
12808,"Adirondack, NY",343
12809,"Argyle, NY",3426
12810,"Athol, NY",556
12811,"Bakers Mills, NY (PO boxes)",209
12812,"Blue Mountain Lake, NY",173
12814,"Bolton Landing, NY",1348
12815,"Brant Lake, NY",938
12816,"Cambridge, NY",4366
12817,"Chestertown, NY",2142
12819,"Clemons, NY",297
12820,"Cleverdale, NY (PO boxes)",21
12821,"Comstock, NY",2447
12822,"Corinth, NY",6282
12823,"Cossayuna, NY",243
12824,"Diamond Point, NY",801
12827,"Fort Ann, NY",3878
12828,"Fort Edward, NY",9442
12831,"Gansevoort, NY",17483
12832,"Granville, NY",6559
12833,"Greenfield Center, NY",4686
12834,"Greenwich, NY",6396
12835,"Hadley, NY",2575
12836,"Hague, NY",528
12837,"Hampton, NY",746
12838,"Hartford, NY",560
12839,"Hudson Falls, NY",13618
12841,"Huletts Landing, NY (PO boxes)",81
12842,"Indian Lake, NY",1154
12843,"Johnsburg, NY",542
12844,"Kattskill Bay, NY",303
12845,"Lake George, NY",4873
12846,"Lake Luzerne, NY",3008
12847,"Long Lake, NY",692
12849,"Middle Granville, NY",421
12850,"Middle Grove, NY",2786
12851,"Minerva, NY",290
12852,"Newcomb, NY",418
12853,"North Creek, NY",1489
12854,"North Granville, NY",44
12855,"North Hudson, NY",230
12856,"North River, NY (PO boxes)",220
12857,"Olmstedville, NY",571
12858,"Paradox, NY",123
12859,"Porter Corners, NY",2041
12860,"Pottersville, NY",579
12861,"Putnam Station, NY",548
12862,"Riparius, NY (PO boxes)",102
12863,"Rock City Falls, NY",762
12864,"Sabael, NY",36
12865,"Salem, NY",3394
12866,"Saratoga Springs, NY",40355
12870,"Schroon Lake, NY",1652
12871,"Schuylerville, NY",3934
12872,"Severance, NY (PO boxes)",44
12873,"Shushan, NY",760
12874,"Silver Bay, NY",112
12878,"Stony Creek, NY",705
12883,"Ticonderoga, NY",4808
12884,"Victory Mills, NY (PO boxes)",541
12885,"Warrensburg, NY",4371
12886,"Wevertown, NY",179
12887,"Whitehall, NY",4966
12901,"Plattsburgh, NY",32147
12903,"Plattsburgh, NY",1810
12910,"Altona, NY",1985
12911,"Keeseville, NY",35
12912,"Au Sable Forks, NY",1964
12913,"Bloomingdale, NY",1035
12914,"Bombay, NY",888
12915,"Brainardsville, NY (PO boxes)",41
12916,"Brushton, NY",2340
12917,"Burke, NY",1430
12918,"Cadyville, NY",2424
12919,"Champlain, NY",3011
12920,"Chateaugay, NY",2352
12921,"Chazy, NY",2270
12922,"Childwold, NY",68
12923,"Churubusco, NY",523
12924,"Keeseville, NY",148
12926,"Constable, NY",2129
12927,"Cranberry Lake, NY (PO boxes)",249
12928,"Crown Point, NY",2030
12929,"Dannemora, NY (PO boxes)",3292
12930,"Dickinson Center, NY",707
12932,"Elizabethtown, NY",1342
12933,"Ellenburg, NY (PO boxes)",7
12934,"Ellenburg Center, NY",1106
12935,"Ellenburg Depot, NY",1491
12936,"Essex, NY",655
12937,"Fort Covington, NY",1406
12939,"Gabriels, NY (PO boxes)",244
12941,"Jay, NY",1330
12942,"Keene, NY",651
12943,"Keene Valley, NY",478
12944,"Keeseville, NY",4088
12945,"Lake Clear, NY",531
12946,"Lake Placid, NY",5217
12950,"Lewis, NY",741
12952,"Lyon Mountain, NY",497
12953,"Malone, NY",13731
12955,"Lyon Mountain, NY",371
12956,"Mineville, NY",1350
12957,"Moira, NY",1663
12958,"Mooers, NY",1866
12959,"Mooers Forks, NY",1382
12960,"Moriah, NY",1009
12961,"Moriah Center, NY",148
12962,"Morrisonville, NY",5463
12964,"New Russia, NY",170
12965,"Nicholville, NY",548
12966,"North Bangor, NY",2848
12967,"North Lawrence, NY",1145
12969,"Owls Head, NY",413
12970,"Paul Smiths, NY",682
12972,"Peru, NY",6212
12973,"Piercefield, NY (PO boxes)",131
12974,"Port Henry, NY",1537
12975,"Port Kent, NY (PO boxes)",292
12976,"Rainbow Lake, NY (PO boxes)",215
12977,"Ray Brook, NY (PO boxes)",693
12978,"Redford, NY",323
12979,"Rouses Point, NY",2321
12980,"Saint Regis Falls, NY",1292
12981,"Saranac, NY",2215
12983,"Saranac Lake, NY",7073
12985,"Schuyler Falls, NY",1079
12986,"Tupper Lake, NY",5363
12987,"Upper Jay, NY",296
12989,"Vermontville, NY",947
12992,"West Chazy, NY",4796
12993,"Westport, NY",1657
12996,"Willsboro, NY",1879
12997,"Wilmington, NY",1139
12998,"Witherbee, NY",569
13020,"Apulia Station, NY (PO boxes)",149
13021,"Auburn, NY",38479
13024,"Auburn, NY",1122
13026,"Aurora, NY",1523
13027,"Baldwinsville, NY",34507
13028,"Bernhards Bay, NY",1217
13029,"Brewerton, NY",7118
13030,"Bridgeport, NY",3754
13031,"Camillus, NY",16335
13032,"Canastota, NY",12336
13033,"Cato, NY",3763
13034,"Cayuga, NY",1836
13035,"Cazenovia, NY",8226
13036,"Central Square, NY",8601
13037,"Chittenango, NY",9230
13039,"Cicero, NY",17485
13040,"Cincinnatus, NY",2507
13041,"Clay, NY",11724
13042,"Cleveland, NY",2447
13044,"Constantia, NY",2506
13045,"Cortland, NY",28406
13051,"Delphi Falls, NY (PO boxes)",111
13052,"De Ruyter, NY",1653
13053,"Dryden, NY",4605
13054,"Durhamville, NY",1388
13057,"East Syracuse, NY",14676
13060,"Elbridge, NY",2584
13061,"Erieville, NY",987
13062,"Etna, NY (PO boxes)",237
13063,"Fabius, NY",1902
13065,"Fayette, NY (PO boxes)",64
13066,"Fayetteville, NY",12949
13068,"Freeville, NY",5189
13069,"Fulton, NY",24071
13071,"Genoa, NY",953
13072,"Georgetown, NY",772
13073,"Groton, NY",6190
13074,"Hannibal, NY",4206
13076,"Hastings, NY",2297
13077,"Homer, NY",6446
13078,"Jamesville, NY",10019
13080,"Jordan, NY",3375
13081,"King Ferry, NY",1058
13082,"Kirkville, NY",4539
13083,"Lacona, NY",1896
13084,"La Fayette, NY",4101
13087,"Little York, NY (PO boxes)",183
13088,"Liverpool, NY",22331
13090,"Liverpool, NY",30472
13092,"Locke, NY",2655
13101,"Mc Graw, NY",2397
13102,"Mc Lean, NY (PO boxes)",69
13103,"Mallory, NY",298
13104,"Manlius, NY",16430
13108,"Marcellus, NY",6054
13110,"Marietta, NY",2236
13111,"Martville, NY",1609
13112,"Memphis, NY",1889
13113,"Meridian, NY (PO boxes)",77
13114,"Mexico, NY",6596
13115,"Minetto, NY (PO boxes)",195
13116,"Minoa, NY",3657
13117,"Montezuma, NY (PO boxes)",197
13118,"Moravia, NY",5849
13119,"Mottville, NY (PO boxes)",52
13120,"Nedrow, NY",2536
13121,"New Haven, NY (PO boxes)",52
13122,"New Woodstock, NY",1068
13123,"North Bay, NY (PO boxes)",104
13124,"North Pitcher, NY",91
13126,"Oswego, NY",35477
13131,"Parish, NY",3649
13132,"Pennellville, NY",3865
13134,"Peterboro, NY (PO boxes)",64
13135,"Phoenix, NY",6303
13136,"Pitcher, NY",409
13138,"Pompey, NY (PO boxes)",55
13140,"Port Byron, NY",4044
13141,"Preble, NY",661
13142,"Pulaski, NY",6323
13143,"Red Creek, NY",2619
13144,"Richland, NY",1401
13145,"Sandy Creek, NY",1793
13146,"Savannah, NY",2205
13147,"Scipio Center, NY",1213
13148,"Seneca Falls, NY",10541
13152,"Skaneateles, NY",7696
13153,"Skaneateles Falls, NY (PO boxes)",309
13154,"South Butler, NY (PO boxes)",76
13155,"South Otselic, NY",605
13156,"Sterling, NY",2231
13157,"Sylvan Beach, NY (PO boxes)",570
13158,"Truxton, NY",1397
13159,"Tully, NY",5155
13160,"Union Springs, NY",1942
13162,"Verona Beach, NY (PO boxes)",251
13163,"Wampsville, NY (PO boxes)",311
13164,"Warners, NY",2730
13165,"Waterloo, NY",10354
13166,"Weedsport, NY",5398
13167,"West Monroe, NY",3263
13202,"Syracuse, NY",6967
13203,"Syracuse, NY",16240
13204,"Syracuse, NY",19752
13205,"Syracuse, NY",18834
13206,"Syracuse, NY",16599
13207,"Syracuse, NY",13140
13208,"Syracuse, NY",23603
13209,"Syracuse, NY",13018
13210,"Syracuse, NY",23150
13211,"Syracuse, NY",6382
13212,"Syracuse, NY",20220
13214,"Syracuse, NY",9072
13215,"Syracuse, NY",15007
13219,"Syracuse, NY",15436
13224,"Syracuse, NY",8705
13244,"Syracuse, NY",6975
13301,"Alder Creek, NY",90
13302,"Altmar, NY",1594
13303,"Ava, NY",1140
13304,"Barneveld, NY",1573
13305,"Beaver Falls, NY (PO boxes)",275
13308,"Blossvale, NY",3722
13309,"Boonville, NY",5906
13310,"Bouckville, NY",591
13312,"Brantingham, NY (PO boxes)",332
13313,"Bridgewater, NY (PO boxes)",520
13314,"Brookfield, NY",86
13315,"Burlington Flats, NY",1228
13316,"Camden, NY",6512
13317,"Canajoharie, NY",3758
13318,"Cassville, NY",1306
13319,"Chadwicks, NY",795
13320,"Cherry Valley, NY",2068
13321,"Clark Mills, NY (PO boxes)",1026
13322,"Clayville, NY",1102
13323,"Clinton, NY",11415
13324,"Cold Brook, NY",1963
13325,"Constableville, NY",980
13326,"Cooperstown, NY",4893
13327,"Croghan, NY",2234
13328,"Deansboro, NY",1147
13329,"Dolgeville, NY",3789
13331,"Eagle Bay, NY",210
13332,"Earlville, NY",2471
13333,"East Springfield, NY",92
13334,"Eaton, NY",1223
13335,"Edmeston, NY",1525
13337,"Fly Creek, NY",686
13338,"Forestport, NY",1187
13339,"Fort Plain, NY",6646
13340,"Frankfort, NY",7652
13342,"Garrattsville, NY",144
13343,"Glenfield, NY",1594
13345,"Greig, NY",192
13346,"Hamilton, NY",6427
13348,"Hartwick, NY",1323
13350,"Herkimer, NY",9513
13352,"Hinckley, NY (PO boxes)",81
13353,"Hoffmeister, NY (PO boxes)",92
13354,"Holland Patent, NY",3339
13355,"Hubbardsville, NY",856
13357,"Ilion, NY",10330
13360,"Inlet, NY",350
13361,"Jordanville, NY",825
13363,"Lee Center, NY",2240
