ZIP census tabulation area,ZIP Code name,Total population (2020 Census)
1094,"Wheelwright, MA (PO boxes)",60
1095,"Wilbraham, MA",14694
1096,"Williamsburg, MA",2509
1097,"Woronoco, MA (PO boxes)",130
1098,"Worthington, MA",1147
1103,"Springfield, MA",2545
1104,"Springfield, MA",23598
1105,"Springfield, MA",12051
1106,"Longmeadow, MA",16165
1107,"Springfield, MA",11252
1108,"Springfield, MA",27671
1109,"Springfield, MA",30968
1118,"Springfield, MA",14296
1119,"Springfield, MA",14393
1128,"Springfield, MA",2647
1129,"Springfield, MA",7024
1151,"Indian Orchard, MA",9150
1201,"Pittsfield, MA",45494
1220,"Adams, MA",8166
1222,"Ashley Falls, MA",835
1223,"Becket, MA",2430
1224,"Berkshire, MA",217
1225,"Cheshire, MA",3258
1226,"Dalton, MA",6324
1229,"Glendale, MA (PO boxes)",189
1230,"Great Barrington, MA",8907
1235,"Hinsdale, MA",2733
1236,"Housatonic, MA",1513
1237,"Lanesborough, MA",2365
1238,"Lee, MA",5722
1240,"Lenox, MA",4692
1242,"Lenox Dale, MA (PO boxes)",449
1243,"Middlefield, MA (PO boxes)",175
1244,"Mill River, MA (PO boxes)",287
1245,"Monterey, MA",933
1247,"North Adams, MA",15147
1253,"Otis, MA",808
1254,"Richmond, MA",946
1255,"Sandisfield, MA",959
1256,"Savoy, MA",645
1257,"Sheffield, MA",2140
1258,"South Egremont, MA (PO boxes)",160
1259,"Southfield, MA",643
1260,"South Lee, MA (PO boxes)",233
1262,"Stockbridge, MA (PO boxes)",1758
1264,"Tyringham, MA (PO boxes)",219
1266,"West Stockbridge, MA",1208
1267,"Williamstown, MA",7876
1270,"Windsor, MA",755
1301,"Greenfield, MA",18042
1330,"Ashfield, MA",1500
1331,"Athol, MA",13656
1337,"Bernardston, MA",2562
1338,"Buckland, MA",127
1339,"Charlemont, MA",1487
1340,"Colrain, MA",1803
1341,"Conway, MA",1539
1342,"Deerfield, MA",1538
1343,"Drury, MA",165
1344,"Erving, MA",1665
1346,"Heath, MA",352
1347,"Lake Pleasant, MA (PO boxes)",204
1349,"Millers Falls, MA",827
1350,"Monroe Bridge, MA (PO boxes)",118
1351,"Montague, MA",2293
1354,"Gill, MA",1546
1355,"New Salem, MA",879
1360,"Northfield, MA",2871
1364,"Orange, MA",7665
1366,"Petersham, MA",1187
1367,"Rowe, MA",506
1368,"Royalston, MA",1283
1370,"Shelburne Falls, MA",3932
1373,"South Deerfield, MA",4526
1375,"Sunderland, MA",3639
1376,"Turners Falls, MA",5324
1378,"Warwick, MA",780
1379,"Wendell, MA",774
1380,"Wendell Depot, MA",82
1420,"Fitchburg, MA",41940
1430,"Ashburnham, MA",6303
1431,"Ashby, MA",3193
1432,"Ayer, MA",8221
1434,"Devens, MA",1652
1436,"Baldwinville, MA",3208
1438,"East Templeton, MA (PO boxes)",414
1440,"Gardner, MA",21577
1450,"Groton, MA",11298
1451,"Harvard, MA",5461
1452,"Hubbardston, MA",4328
1453,"Leominster, MA",43752
1460,"Littleton, MA",10141
1462,"Lunenburg, MA",11818
1463,"Pepperell, MA",11621
1464,"Shirley, MA",7427
1468,"Templeton, MA",4309
1469,"Townsend, MA",7055
1473,"Westminster, MA",8213
1474,"West Townsend, MA",2072
1475,"Winchendon, MA",10304
1501,"Auburn, MA",16731
1503,"Berlin, MA",3158
1504,"Blackstone, MA",9208
1505,"Boylston, MA",4849
1506,"Brookfield, MA",3439
1507,"Charlton, MA",13315
1510,"Clinton, MA",15428
1515,"East Brookfield, MA",2224
1516,"Douglas, MA",8962
1518,"Fiskdale, MA",3176
1519,"Grafton, MA",7254
1520,"Holden, MA",16394
1521,"Holland, MA",2603
1522,"Jefferson, MA",3464
1523,"Lancaster, MA",8377
1524,"Leicester, MA",6621
